#Types Before Cut: 11101
#Types After Cut: 9703
#Search Hits: 0
242	17	33.245	получилось
243	17	33.245	пошла
244	15	32.658	будешь
245	15	32.658	понял
246	15	32.658	поняла
247	28	32.377	обычно
248	28	32.377	таки
249	34	32.248	голос
250	24	32.225	принципе
251	12	31.613	берег
252	12	31.613	весело
253	12	31.613	детстве
254	12	31.613	квартиру
255	12	31.613	круто
256	12	31.613	любят
257	12	31.613	поговорить
258	12	31.613	пятьдесят
259	12	31.613	смешно
260	36	31.566	две
261	113	31.362	даже
262	19	31.294	зачем
263	16	30.839	школа
264	16	30.839	языке
265	20	30.786	дочка
266	21	30.460	хоть
267	21	30.460	язык
268	23	30.176	дома
269	14	30.157	любит
270	17	29.747	давайте
271	49	29.664	всегда
272	11	28.978	inan
273	11	28.978	давали
274	11	28.978	девочки
275	11	28.978	девяносто
276	11	28.978	здорово
277	11	28.978	знала
278	11	28.978	кадра
279	11	28.978	классно
280	11	28.978	кхм
281	11	28.978	понимаешь
282	11	28.978	расскажу
283	11	28.978	рассказчик
284	11	28.978	смеётся
285	11	28.978	смотри
286	11	28.978	соседка
287	11	28.978	училась
288	11	28.978	холодно
289	19	28.608	младший
290	26	28.580	самое
291	26	28.580	смысле
292	15	28.448	играть
293	21	28.197	жить
294	13	27.666	алина
295	13	27.666	концерт
296	13	27.666	семья
297	13	27.666	ходить
298	13	27.666	честно
299	16	27.447	видео
300	156	27.053	или
301	17	26.829	моей
302	18	26.452	понимаю
303	10	26.344	бывают
304	10	26.344	вкус
305	10	26.344	восемьдесят
306	10	26.344	дед
307	10	26.344	дедушка
308	10	26.344	ехать
309	10	26.344	забыл
310	10	26.344	иии
311	10	26.344	картинка
312	10	26.344	кашель
313	10	26.344	нуу
314	10	26.344	озеро
315	10	26.344	пол
316	10	26.344	прикольно
317	10	26.344	ребята
318	10	26.344	своё
319	10	26.344	слушай
320	10	26.344	смешок
321	10	26.344	собака
322	10	26.344	ушёл
323	19	26.241	н
324	22	26.218	какую
325	22	26.218	часов
326	14	26.072	собственно
327	27	25.735	моя
328	12	25.185	вдруг
329	12	25.185	делаю
330	12	25.185	купил
331	15	25.166	ж
332	39	24.962	людей
333	16	24.629	читать
334	146	24.325	был
335	50	24.272	день
336	20	24.174	места
